Date,Afghanistan,Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Srilanka
2020-01-23,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,1
2020-02-09,0,0,0,0,0,0,0,1
2020-02-10,0,0,0,0,0,0,0,1
2020-02-11,0,0,0,0,0,0,0,1
2020-02-12,0,0,0,0,0,0,0,1
2020-02-13,0,0,0,0,0,1,0,1
2020-02-14,0,0,0,0,0,1,0,1
2020-02-15,0,0,0,0,0,1,0,1
2020-02-16,0,0,0,0,0,1,0,1
2020-02-17,0,0,0,3,0,1,0,1
2020-02-18,0,0,0,3,0,1,0,1
2020-02-19,0,0,0,3,0,1,0,1
2020-02-20,0,0,0,3,0,1,0,1
2020-02-21,0,0,0,3,0,1,0,1
2020-02-22,0,0,0,3,0,1,0,1
2020-02-23,0,0,0,3,0,1,0,1
2020-02-24,0,0,0,3,0,1,0,1
2020-02-25,0,0,0,3,0,1,0,1
2020-02-26,0,0,0,3,0,1,0,1
2020-02-27,0,0,0,3,0,1,0,1
2020-02-28,0,0,0,3,0,1,0,1
2020-02-29,0,0,0,3,0,1,0,1
2020-03-01,0,0,0,3,0,1,0,1
2020-03-02,0,0,0,3,0,1,0,1
2020-03-03,0,0,0,3,0,1,0,1
2020-03-04,0,0,0,3,0,1,0,1
2020-03-05,0,0,0,3,0,1,0,1
2020-03-06,0,0,0,3,0,1,0,1
2020-03-07,0,0,0,3,0,1,0,1
2020-03-08,0,0,0,3,0,1,1,1
2020-03-09,0,0,0,3,0,1,1,1
2020-03-10,0,0,0,3,0,1,1,1
2020-03-11,0,0,0,4,0,1,2,1
2020-03-12,0,0,0,4,0,1,2,1
2020-03-13,0,0,0,4,0,1,2,1
2020-03-14,0,0,0,4,0,1,2,1
2020-03-15,0,0,0,4,0,1,2,1
2020-03-16,0,0,0,13,0,1,2,1
2020-03-17,1,2,0,13,0,1,2,1
2020-03-18,1,3,0,14,0,1,2,1
2020-03-19,1,3,0,14,0,1,13,3
2020-03-20,1,3,0,15,0,1,13,3
2020-03-21,1,3,0,20,0,1,13,1
2020-03-22,1,3,0,23,0,1,5,3
2020-03-23,1,3,0,27,0,1,5,3
2020-03-24,1,3,0,27,0,1,18,2
